Study,Type,Device,N_implants,Skin_Comp,Implant_Loss,Reoperations,p1,p2,p3
Baker,Trans,SPa1/AT,17,1,0,1,,,
Baumgardner,Trans,BB,12,0,0,0,,,
denoyelle (2015),Trans,SPa1,15,0,0,0,,,
dimitriadis,Trans,AT,16,2,0,0,,,
escorihuela,Trans,SPa1,3,0,0,0,,,
hassepass,Trans,BB,3,0,0,0,,,
iseri 2015 ON,Trans,AT,7,0,0,0,,,
marsella 2015,Trans,AT,1,0,0,0,,,
marsella 2014,Trans,SP,6,1,0,0,,,
nelissen,Trans,SP,6,0,0,0,,,
oniel,Trans,SP,14,3,0,1,,,
powell,Trans,AT/SP,15,1,0,0,,,
shin,Trans,SP,3,0,0,0,,,
siegert,Trans,SP,24,0,0,0,,,
den besten,Perc,BIA300,115,50,4,33,,,
alshehri,Perc,BIA400,2,1,0,0,,,
felton,Perc,BI300,10,1,0,0,,,
hultcrantz,Perc,BI300,10,9,2,2,,,
marsella (2012),Perc,BI300,5,1,0,0,,,
mclarnon,Perc,BI300,30,0,3,0,,,
mierzwinski,Perc,BIA300/BI400,24,3,0,0,,,
nelson,Perc,BI300,25,13,2,0,,,
